189, NeutralPineBackHall, 0, PineBackHall, 90, -90, left, 2, open, open, 5.875844, -4.229187, 18.0968, 0.7797852, 1309.281
190, NeutralMaynard, 0, Maynard, 90, 90, left, 4, closed, closed, -8.751038, -2.597992, 158.7968, 0.8493652, 1312.345
191, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, right, 4, closed, closed, 4.499629, -0.1141357, -53.59155, 0.9328613, 1315.477
192, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 6.658264, -3.835968, -155.3442, 0.8770752, 1318.694
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 4.908845, -5.866302, -204.2843, 0.7935791, 1321.813
194, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, right, 4, closed, closed, 6.489484, 0.8455067, -163.67, 1.002563, 1325.126
195, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -7.597076, 5.017065, 338.9393, 0.8790283, 1328.386
196, NeutralHop4, 0, Hop4, 87, 90, left, 4, closed, closed, -8.387909, 2.307991, 152.6242, 1.058228, 1331.712
197, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -6.661469, -7.979797, 153.0611, 0.8636475, 1334.943
198, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -8.762787, -7.321625, 155.6657, 0.8911133, 1338.242
199, Fairbanks, 0, Fairbanks, 90, 90, left, 3, closed, closed, -8.629761, -8.201324, 152.2112, 1.058105, 1341.57
200, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, left, 4, closed, closed, -9.598724, -3.044434, 326.9289, 1.016479, 1344.759
201, NeutralHop4, 0, Hop4, 87, 90, right, 2, closed, closed, -7.105011, -6.012604, 137.0888, 0.8632813, 1347.822
202, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 7.181717, -8.606354, -150.078, 0.7938232, 1351.01
203, NeutralMooreLot, 0, MooreLot, 90, -90, left, 2, closed, closed, 6.356622, -9.608368, 28.94321, 0.9051514, 1354.282
204, Hop2, -1, Hop2, -91, -90, right, 3, closed, closed, 6.544315, -6.078888, -156.4764, 1.002441, 1357.666
205, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, open, 7.513331, -10.18619, 36.4631, 1.016479, 1361.132
