0, McLaughlinCluster, study, 0, 0, study, 9.179448, 0.006475446, -89.55865, 20210825, 00:21:20.91675, 28.59018
0, McLaughlinCluster, study, 0, 0, study, 8.972322, 0.06210693, -90.59094, 20210825, 00:21:20.93064, 28.60391
0, McLaughlinCluster, study, 0, 0, study, 8.762774, 0.2903526, -91.6575, 20210825, 00:21:20.94416, 28.61797
0, McLaughlinCluster, study, 0, 0, study, 8.744242, 0.4187174, -92.72015, 20210825, 00:21:20.95820, 28.63178
0, McLaughlinCluster, study, 0, 0, study, 8.756068, 0.3792145, -93.93948, 20210825, 00:21:20.97249, 28.64584
0, McLaughlinCluster, study, 0, 0, study, 8.673687, 0.3255324, -95.22836, 20210825, 00:21:20.98584, 28.65966
0, McLaughlinCluster, study, 0, 0, study, 8.372951, 0.1660357, -96.49115, 20210825, 00:21:21.00029, 28.67375
0, McLaughlinCluster, study, 0, 0, study, 8.054293, -0.1578674, -97.72934, 20210825, 00:21:21.01415, 28.68761
0, McLaughlinCluster, study, 0, 0, study, 7.990924, -0.4402771, -99.05521, 20210825, 00:21:21.02802, 28.70144
0, McLaughlinCluster, study, 0, 0, study, 7.996299, -0.8326721, -100.5141, 20210825, 00:21:21.04168, 28.71555
0, McLaughlinCluster, study, 0, 0, study, 7.859429, -1.136871, -101.9656, 20210825, 00:21:21.05568, 28.72927
0, McLaughlinCluster, study, 0, 0, study, 7.766229, -1.630951, -103.3761, 20210825, 00:21:21.06970, 28.74317
0, McLaughlinCluster, study, 0, 0, study, 7.713214, -2.375092, -104.723, 20210825, 00:21:21.08331, 28.75712
0, McLaughlinCluster, study, 0, 0, study, 7.808711, -3.114014, -106.0757, 20210825, 00:21:21.09755, 28.77098
0, McLaughlinCluster, study, 0, 0, study, 8.094226, -3.914307, -107.4581, 20210825, 00:21:21.11153, 28.78507
0, McLaughlinCluster, study, 0, 0, study, 8.417056, -4.731049, -109.0087, 20210825, 00:21:21.12511, 28.79889
0, McLaughlinCluster, study, 0, 0, study, 8.537123, -5.429138, -110.681, 20210825, 00:21:21.13926, 28.81283
0, McLaughlinCluster, study, 0, 0, study, 8.428382, -6.27359, -112.4527, 20210825, 00:21:21.15324, 28.82673
0, McLaughlinCluster, study, 0, 0, study, 8.247147, -6.899719, -114.2102, 20210825, 00:21:21.16708, 28.84064
