169, 53Commons, 0, 53Commons, -90, -90, right, 3, closed, closed, 8.542677, -0.001239253, -148.4719, 0.9608154, 1470.868
170, NeutralPineEntrance, 0, PineEntrance, -90, -90, left, 2, open, open, 7.016668, 3.920669, -161.274, 1.086304, 1474.432
171, NeutralHop4, 0, Hop4, -93, -90, left, 2, open, open, 6.572136, 4.10701, -166.3318, 0.8769531, 1477.592
172, PineBackHall, 180, PineBackHall, 90, -90, right, 3, open, closed, 9.43407, 7.042652, 28.61407, 0.8493652, 1480.822
173, PineEntrance, 0, PineEntrance, -90, -90, right, 3, open, open, 6.358809, 6.690319, -160.7035, 0.8771973, 1483.969
174, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, right, 2, open, open, -7.186096, 5.447052, 160.9855, 1.072266, 1487.213
175, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 3.340796, 3.180705, 18.4631, 0.8215332, 1490.902
176, RaunerFirst, 0, RaunerFirst, -90, -90, right, 3, closed, open, 4.631565, 4.523491, -146.222, 0.6962891, 1493.993
177, MooreLot, 180, MooreLot, 90, -90, right, 3, closed, closed, 6.940485, 6.371916, 20.56955, 0.9050293, 1498.155
178, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 4.864038, 6.51358, -157.7216, 0.6265869, 1501.149
179, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -5.338867, -0.7545471, 32.8269, 0.6821289, 1504.212
180, NeutralMooreLot, 0, MooreLot, 90, -90, right, 4, closed, closed, 5.413545, 5.181607, 24.01538, 0.8632813, 1507.497
181, Maynard, 0, Maynard, 90, 90, left, 3, closed, closed, 2.861847, 1.7986, 90.98409, 0.6682129, 1510.323
182, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, right, 3, closed, closed, 12.07122, 8.044474, 24.41885, 0.640625, 1513.54
183, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, right, 3, closed, closed, 5.861175, 2.490101, 4.395774, 0.8074951, 1516.589
184, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 13.14117, 7.192945, -139.7852, 0.6682129, 1519.442
185, Neutral53Commons, 0, 53Commons, 90, 90, left, 4, open, open, -5.182037, 0.9534638, 156.8669, 0.9049072, 1522.742
186, NeutralUmplebys, 0, Umplebys, 40, 90, left, 4, closed, closed, -3.730133, 6.293199, 114.0178, 1.072144, 1526.028
187, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 7.867985, 4.46872, 34.25647, 0.8353271, 1529.439
188, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, 1.624804, -4.073181, -6.436263, 0.7657471, 1532.599
189, NeutralPineBackHall, 0, PineBackHall, 90, -90, left, 2, open, closed, 9.464009, 6.844215, 26.17157, 0.8217773, 1535.662
190, NeutralMaynard, 0, Maynard, 90, 90, left, 4, closed, closed, -9.255371, 4.209999, 156.8355, 1.462036, 1539.38
191, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, right, 4, closed, closed, 2.567286, 0.9207239, -9.520813, 0.8353271, 1542.943
192, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, open, 0.3715675, 0.0572493, -91.79343, 0.5290527, 1545.797
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 4.803324, 5.881002, -155.1674, 0.7797852, 1552.619
194, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, right, 4, closed, closed, 7.520738, 9.7274, -142.5888, 0.9467773, 1556.184
195, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, 1.995132, 2.391127, 279.6465, 0.7242432, 1559.4
196, NeutralHop4, 0, Hop4, 87, 90, left, 4, closed, closed, -7.684387, 6.038171, 144.2699, 1.266968, 1563.256
197, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -1.7948, 0.4249598, 97.14442, 0.9465332, 1566.472
198, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -1.996002, 1.650883, 94.51411, 0.7661133, 1569.967
199, Fairbanks, 0, Fairbanks, 90, 90, left, 3, closed, closed, -9.690491, 0.9324167, 151.3299, 1.016357, 1573.378
200, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, left, 4, closed, closed, -6.761841, 7.192179, 334.4402, 0.8354492, 1576.441
201, NeutralHop4, 0, Hop4, 87, 90, right, 2, closed, closed, -2.951538, 3.058996, 97.68076, 0.6539307, 1579.643
