115, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 6.58021, -5.524963, -157.1838, 1.420044, 1362.609
116, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -7.533722, -8.808075, 167.0431, 1.601196, 1366.87
117, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, left, 4, closed, closed, -8.883698, -14.061, 75.00273, 1.058105, 1370.99
118, NeutralAllenSt, 0, AllenSt, 90, 90, left, 4, closed, closed, -7.648956, -12.56754, 162.6527, 0.9606934, 1374.443
119, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 5.371534, -6.291779, -255.0006, 1.308838, 1378.703
120, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -7.564301, -6.163116, 170.5033, 1.169678, 1382.588
121, NeutralRaunerBackHall, 0, RaunerBackHall, -90, -90, left, 2, closed, closed, 4.075767, -2.825195, -157.7361, 1.11377, 1386.458
122, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -6.704224, -11.54907, 145.5706, 0.7937012, 1389.925
123, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 4.648595, -7.799866, -155.8578, 1.36438, 1394.213
124, AllenSt, 0, AllenSt, 90, 90, left, 3, closed, closed, -4.197754, -12.60138, 139.8069, 0.7659912, 1397.694
125, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -3.341431, -12.05072, 318.1756, 0.9051514, 1401.369
126, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -1.997223, -10.22302, 124.5165, 0.8354492, 1404.891
127, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -3.009003, -10.19925, 335.0835, 0.8076172, 1408.414
128, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -3.225067, -9.692474, 157.2664, 0.9049072, 1412.173
129, NeutralMaynard, 0, Maynard, -90, -90, right, 4, open, open, 1.930264, -7.846924, -152.6883, 1.016479, 1415.862
130, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, left, 2, open, open, 2.39023, -5.298706, 21.58139, 1.016479, 1419.552
131, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -3.847229, -9.366486, 48.34575, 0.6960449, 1422.809
132, NeutralAllenSt, 0, AllenSt, -90, -90, left, 2, open, open, 3.280344, -7.1604, -153.4729, 0.9466553, 1426.499
133, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 2.15372, -3.491608, 29.90274, 1.253174, 1430.522
134, NeutralHop2, 0, Hop2, 89, 90, left, 4, open, open, -3.526947, -12.69351, 153.3885, 0.8911133, 1434.059
135, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, left, 3, open, open, -2.751251, -11.90308, 252.6047, 1.072021, 1437.706
136, NeutralZimmerman, 0, Zimmerman, -190, -90, right, 4, closed, closed, 1.290305, -6.735809, -250.9893, 1.099854, 1441.368
137, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 0.2550906, -7.163757, -150.5077, 0.8632813, 1444.876
138, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, left, 2, closed, closed, 1.39725, -6.933258, 31.80188, 0.9886475, 1448.594
139, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -1.548737, -10.62866, 337.3282, 0.9189453, 1452.116
140, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, 0.08641677, -10.60049, 141.6686, 0.8631592, 1455.555
141, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, -0.0725708, -6.036713, 23.58392, 1.016357, 1459.272
142, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, right, 2, open, open, -0.03637695, -9.878448, 156.4701, 1.211304, 1463.24
143, NeutralFairbanks, 0, Fairbanks, -90, -90, left, 2, open, open, 1.270842, -8.285065, -153.3851, 1.114014, 1466.832
144, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -1.935181, -7.38147, 171.2936, 0.9886475, 1470.424
145, NeutralPineBackHall, 0, PineBackHall, 90, -90, right, 4, open, closed, -0.6905518, 6.326233, 17.69788, 2.784546, 1476.02
146, NeutralHop2, 0, Hop2, -91, -90, left, 2, closed, closed, 2.408353, -3.610352, -157.7231, 1.002563, 1479.835
147, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -4.75885, -4.315002, 348.8063, 1.030273, 1483.706
148, Umplebys, -50, Umplebys, 40, 90, left, 3, closed, closed, -4.489441, -2.678864, 111.2107, 1.461914, 1488.021
149, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, left, 3, open, open, -2.746338, -4.512878, 345.9662, 1.559448, 1492.337
150, Neutral53Commons, 0, 53Commons, -90, -90, left, 2, closed, closed, -0.2693176, -7.122131, -153.5206, 1.420166, 1496.987
151, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, -0.2244873, -10.68549, -148.8581, 0.8911133, 1500.955
152, Hop4, -3, Hop4, -93, -90, left, 1, open, open, -0.3902893, -9.095215, -154.8775, 1.141724, 1504.617
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -1.029053, -6.936584, -253.6991, 1.08606, 1508.237
154, NeutralMaynard, 0, Maynard, -90, -90, left, 2, open, open, -0.6313171, -6.572906, -151.3476, 1.183472, 1511.968
155, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 3.125711, -6.607727, -237.528, 0.8353271, 1515.323
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 1.843492, -2.254333, -160.3836, 1.280884, 1519.208
157, NeutralMooreLot, 0, MooreLot, 270, 90, left, 4, open, closed, -2.310394, -4.58313, 346.1113, 1.40625, 1523.147
